job_id,input_file,status,ipc_ms,processing_ms,round_trip_ms
01973586-466F-4163-810D-430AF5DFC80B,01973586-466F-4163-810D-430AF5DFC80B.JPEG,ok,0.3418329870328307,5108.741494012065,5109.083326999098
0BA08EE4-AB9D-47EB-A7FF-AC59CA1666C0,0BA08EE4-AB9D-47EB-A7FF-AC59CA1666C0.JPG,ok,0.33565700869075954,600.1283419900574,600.4639989987481
0EB948F0-A873-4EBD-B4B1-8357DB187DE4,0EB948F0-A873-4EBD-B4B1-8357DB187DE4.JPEG,ok,0.31385698821395636,395.18864400452003,395.502500992734
190CF20D-AA88-4BAB-A6E3-2362EF1554F9,190CF20D-AA88-4BAB-A6E3-2362EF1554F9.JPEG,ok,0.2880019892472774,500.9483670000918,501.2363689893391
36860C73-4B69-4035-BD0C-44BB8B7F7100,36860C73-4B69-4035-BD0C-44BB8B7F7100.JPEG,ok,0.3051109961234033,586.5660129929893,586.8711239891127
37FE675A-4672-46FE-A4AD-8A4FCB167FAB,37FE675A-4672-46FE-A4AD-8A4FCB167FAB.JPEG,ok,0.2736850001383573,613.451355980942,613.7250409810804
3ACE98ED-861E-4172-AFF1-984150F1588B,3ACE98ED-861E-4172-AFF1-984150F1588B.JPEG,ok,0.29652498778887093,198.7566869938746,199.05321198166348
5ACBCCC6-8FD8-406F-BF8A-7D75076DC6ED,5ACBCCC6-8FD8-406F-BF8A-7D75076DC6ED.JPEG,ok,0.2844500122591853,192.8648779867217,193.14932799898088
5C401988-346D-48D1-9FE6-E04602E9C9D8,5C401988-346D-48D1-9FE6-E04602E9C9D8.JPEG,ok,0.32568801543675363,205.59670598595403,205.92239400139078
73835AF4-9429-4611-9A23-41B6025394F1,73835AF4-9429-4611-9A23-41B6025394F1.JPEG,ok,0.29202201403677464,195.8611409936566,196.15316300769337
78775FB7-A08B-4ED6-9119-FFC452425304,78775FB7-A08B-4ED6-9119-FFC452425304.JPEG,ok,0.28642898541875184,208.1398559967056,208.42628498212434
8035A631-7F0F-4AD4-BC9B-A31FD51A5C83,8035A631-7F0F-4AD4-BC9B-A31FD51A5C83.JPG,ok,0.33492001239210367,198.69205399299972,199.02697400539182
82187A2F-D143-4D90-B30E-AFD1DBA3EC45,82187A2F-D143-4D90-B30E-AFD1DBA3EC45.JPEG,ok,0.28263599961064756,376.7885999986902,377.07123599830084
827521F6-BD75-40B6-B597-A952D7FE8E68,827521F6-BD75-40B6-B597-A952D7FE8E68.JPEG,ok,0.3139680193271488,136.67571698897518,136.98968500830233
827EF9BA-E346-4E04-BE85-247BB0D6B809,827EF9BA-E346-4E04-BE85-247BB0D6B809.JPEG,ok,0.3158210020046681,177.42531199473888,177.74113299674354
85F34392-E97A-416E-A9B0-37CF6AD0A665,85F34392-E97A-416E-A9B0-37CF6AD0A665.JPEG,ok,0.33423802233301103,207.03874697210267,207.37298499443568
8786B0C7-8881-4B4D-9247-59C440DB7B6F,8786B0C7-8881-4B4D-9247-59C440DB7B6F.JPEG,ok,0.29728698427788913,202.59175600949675,202.88904299377464
8BB2175B-4183-407D-BE90-85EBE249E108,8BB2175B-4183-407D-BE90-85EBE249E108.JPEG,ok,0.3185899986419827,206.0681260190904,206.3867160177324
8D28B7CD-7BDA-4550-B4A4-AFB489060566,8D28B7CD-7BDA-4550-B4A4-AFB489060566.JPEG,ok,0.27231700369156897,297.06797399558127,297.34029099927284
95000DB7-0DE1-41F5-8643-1EC7A35A3B9B,95000DB7-0DE1-41F5-8643-1EC7A35A3B9B.JPG,ok,0.27611799305304885,183.90699199517258,184.18310998822562
98c566ce5292ce50729c0b9e8545e6c8,98c566ce5292ce50729c0b9e8545e6c8.JPEG,ok,0.3001079894602299,206.06044700252824,206.36055499198847
99225F4E-B8D2-42CC-ABBC-6BA0F7C1D2FC,99225F4E-B8D2-42CC-ABBC-6BA0F7C1D2FC.JPEG,ok,0.3695559862535447,194.1468350123614,194.51639099861495
9EF297FD-2F9E-40B4-BC15-C01DA9639EE0,9EF297FD-2F9E-40B4-BC15-C01DA9639EE0.JPEG,ok,0.31646498246118426,205.53106101579033,205.8475259982515
